Resource Number,Resource Title,Author,Species - Common Name,Species - Scientific Name,Sector,Regulation,Activity,Resource Type,Taxanomic Group,URL: ,PDF Required?,Tot # of PDFs Required:,23,URL to actual document (to be included in PDF coversheet)
1,American Badger  ,Ontario Ministry of Natural Resources,American badger,Taxidea taxus ,~,American badger habitat; Endangered species,~,Website,Mammals,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_AMRCN_BDGR_EN.html,,,,
2,American Eel  ,Ontario Ministry of Natural Resources,American Eel,Anguilla rostrata,~,Hydro-electric generating stations; Fishing — incidental catch; Endangered species,~,Website,Fishes,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_AMRCN_EEL_EN.html,,,,
3,American White Pelican   ,Ontario Ministry of Natural Resources,American White Pelican,Pelecanus erythrorhynchos,~,American white pelican habitat; Threatened species,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_AMRCN_WHT_PLCN_EN.html,,,,
4,Bald Eagle   ,Ontario Ministry of Natural Resources,Bald Eagle,Haliaeetus leucocephalus,~,Special concern species,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BLD_EAGL_EN.html,,,,
5,Barn Owl  ,Ontario Ministry of Natural Resources,Barn Owl,Tyto alba,~,Endangered species; Barn owl habitat,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BRN_OWL_EN.html,,,,
6,Bent Spike-rush  ,Ontario Ministry of Natural Resources,Bent Spike-rush,Eleocharis geniculata,~,Endangered species; Bent spike-rush habitat,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BENT_SPK_RSH_EN.html,,,,
7,Blanding's Turtle  ,Ontario Ministry of Natural Resources,Blanding's Turtle,Emydoidea blandingii,~,Threatened species ,~,Website,Reptiles,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BLNDNGS_TRTL_EN.html,,,,
8,Bobolink  ,Ontario Ministry of Natural Resources,Bobolink,Dolichonyx oryzivorus,~,"Threatened species; Bobolink, eastern meadowlark; Development — bobolink, eastern meadowlark",~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BBLNK_EN.html,,,,
9,Butternut  ,Ontario Ministry of Natural Resources,Butternut,Juglans cinerea,~,Endangered species; Butternut; ,~,Website,Plants,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_BUTTERNUT_EN.html,,,,
10,Canada Warbler  ,Ontario Ministry of Natural Resources,Canada Warbler,Wilsonia canadensis,~,Special concern species,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_CND_WRBLR_EN.html,,,,
11,Chimney Swift  ,Ontario Ministry of Natural Resources,Chimney Swift,Chaetura pelagica,~,Threatened species; Built Structures – Chimney Swift,~,Website,Birds,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_CHMNY_SWFT_EN.html,,,,
12,Common Five-lined Skink (Carolinian population)  ,Ontario Ministry of Natural Resources,Common Five-lined Skink,Plestiodon fasciatus,~,Endangered species; Common five-lined skink (Carolinian population) habitat,~,Website,Reptiles,http://www.mnr.gov.on.ca/en/Business/Species/2ColumnSubPage/MNR_SAR_CMN_5LND_SKNK_EN.html,,,,
